ders	ünite_sıra	ünite_adı	konu_sıra	konu_adı	konu_özeti
Tarih	38	Osmanlı Devleti'ne Yönelik Tehditler-I	3	Kırım Savaşı ve 93 Harbi	Kırım Savaşı’nda Osmanlı Devleti, İngiltere ve Fransa’nın desteğiyle Rusya’ya karşı savaştı. Osmanlı ilk dış borcunu bu savaş sırasında aldı; 1856 Paris Antlaşması ile Avrupa devletler hukukundan yararlanan devletler arasında kabul edildi. 1877-1878 Osmanlı-Rus Savaşı yani 93 Harbi sonrasında Berlin Antlaşması imzalandı. Bu antlaşmayla Sırbistan, Karadağ ve Romanya bağımsız oldu; Ermeni meselesi uluslararası boyut kazandı.
Tarih	39	Osmanlı Devleti'nde Demokratikleşme Hareketleri	1	Sened-i İttifak ve Tanzimat Fermanı	Sened-i İttifak, 1808’de devlet görevlileri ile ayanlar arasında imzalandı. Padişahın yetkilerini hukuken sınırlandırması bakımından Osmanlı demokratikleşme hareketlerinin ilk adımlarından biri kabul edilir. Tanzimat Fermanı ise 1839’da ilan edilerek can, mal ve namus güvenliğini güvence altına aldı. Bu fermanla hukuk devleti ve anayasal yönetime geçiş anlayışı güç kazandı.
Tarih	39	Osmanlı Devleti'nde Demokratikleşme Hareketleri	2	Islahat Fermanı	1856 Islahat Fermanı, özellikle gayrimüslimlere yeni haklar tanımak amacıyla ilan edildi. Osmanlı Devleti, Avrupa devletlerinin azınlıklar üzerinden iç işlerine karışmasını azaltmayı hedefledi. Gayrimüslimlere devlet memurluğu, okul açma ve mahkemelerde eşitlik gibi alanlarda haklar verildi. Ancak ferman Avrupa devletlerinin Osmanlı iç işlerine müdahalesini tamamen engelleyemedi.
Tarih	39	Osmanlı Devleti'nde Demokratikleşme Hareketleri	3	Kanun-ı Esasi ve Siyasi Partiler	1876 Kanun-ı Esasi, Türk tarihinin ilk yazılı anayasasıdır ve I. Meşrutiyet Dönemi’ni başlatmıştır. Meclis-i Umumi; Ayan Meclisi ve Mebusan Meclisi olmak üzere iki bölümden oluştu, seçimlerde iki dereceli sistem uygulandı. 1908’de II. Meşrutiyet ilan edilerek anayasa yeniden yürürlüğe kondu. Bu dönemde siyasi partiler kurulmuş ve Osmanlı tarihinde çok partili hayata geçilmiştir.
Tarih	40	Osmanlı Devleti'nde Darbeler	1	1876 Darbesi ve 31 Mart Vakası	1876’da Sultan Abdülaziz, devlet adamlarının gerçekleştirdiği darbeyle tahttan indirildi. Bu olay, Osmanlı tarihinde bir padişahın devlet içindeki siyasi aktörler tarafından görevden uzaklaştırılmasının ilk önemli örneğidir. 1909’daki 31 Mart Vakası, II. Meşrutiyet yönetimine karşı çıkan ayaklanmadır. Hareket Ordusu isyanı bastırmış, II. Abdülhamid tahttan indirilmiştir.
Tarih	40	Osmanlı Devleti'nde Darbeler	2	Babıâli Baskını	1913 Babıâli Baskını, İttihat ve Terakki Cemiyetinin hükûmeti zor kullanarak devirmesidir. Baskın sonrasında Kâmil Paşa Hükûmeti görevden uzaklaştırıldı. İttihat ve Terakki yönetimde belirleyici güç hâline geldi. Osmanlı Devleti I. Dünya Savaşı’na bu siyasi ortam içinde girdi.
Tarih	41	Osmanlı Devleti'ne Yönelik Tehditler-II	1	Mehmet Ali Paşa ve Boğazlar	Mısır Valisi Kavalalı Mehmet Ali Paşa’nın isyanı Osmanlı Devleti’ni zor durumda bıraktı. Osmanlı, Rusya’dan destek almak için 1833 Hünkâr İskelesi Antlaşması’nı imzaladı. Avrupa devletleri Rusya’nın Boğazlar üzerindeki etkisinden rahatsız oldu. 1841 Londra Boğazlar Sözleşmesi ile Boğazlar ilk kez uluslararası bir statü kazandı.
Tarih	41	Osmanlı Devleti'ne Yönelik Tehditler-II	2	Reval Görüşmesi ve Bloklaşmalar	1908 Reval Görüşmesi, İngiltere ve Rusya arasında gerçekleşti ve Osmanlı Devleti üzerindeki baskıyı artırdı. Avrupa’da Almanya, Avusturya-Macaristan ve İtalya Üçlü İttifak’ı oluşturdu. İngiltere, Fransa ve Rusya ise Üçlü İtilaf Devletleri olarak birleşti. Bu bloklaşma, I. Dünya Savaşı’na giden süreci hızlandırdı.
Tarih	42	Osmanlıda Sanayileşme Çabaları	1	Balta Limanı Antlaşması (1838)	Balta Limanı Antlaşması 1838’de İngiltere ile imzalandı. Antlaşma ile iç ve dış ticaretteki sınırlamalar kaldırıldı, yabancı tüccarlara geniş ayrıcalıklar tanındı. Yerli üretici Avrupa mallarıyla rekabet edemedi ve Osmanlı ekonomisi açık pazar hâline geldi. Bu gelişme Osmanlı sanayisinin zayıflamasını hızlandırdı.
Tarih	42	Osmanlıda Sanayileşme Çabaları	2	Dış Borçlar ve Düyûn-ı Umûmiye	Osmanlı Devleti ilk dış borcu 1854’te Kırım Savaşı sırasında aldı. Borçların üretime ve yatırıma dönüşmemesi, bütçe açıklarının büyümesine yol açtı. Borçlar ödenemeyince 1881 Muharrem Kararnamesi ile Düyûn-ı Umûmiye İdaresi kuruldu. Bu kurum bazı Osmanlı gelirlerini alacaklı devletler adına denetleyerek mali bağımsızlığı zedeledi.
Tarih	42	Osmanlıda Sanayileşme Çabaları	3	Millî İktisat Politikası	İttihat ve Terakki yönetimi, I. Dünya Savaşı yıllarında yerli üretimi ve millî sermayeyi güçlendirmeyi amaçladı. Kapitülasyonlar tek taraflı kaldırıldı, koruyucu gümrük uygulamalarına yönelindi. Millî bankalar kurulması ve Teşvik-i Sanayi Kanunu bu politikanın önemli adımlarıdır. Amaç ekonomide yabancı etkisini azaltıp yerli girişimciyi desteklemekti.
Tarih	43	XIX ve XX. Yüzyılda Osmanlı Nüfusu	1	Kafkas Göçleri	Kırım’ın kaybı ve Rusya’nın Kafkasya’daki baskıları sonucu çok sayıda Müslüman Türk Anadolu’ya göç etti. Bu göçler Anadolu’daki Türk-Müslüman nüfus oranını artırdı. Göçmenlerin yerleştirilmesi konut, üretim ve altyapı sorunlarını da beraberinde getirdi. Göçler, Anadolu’nun demografik yapısında kalıcı değişikliklere yol açtı.
Tarih	43	XIX ve XX. Yüzyılda Osmanlı Nüfusu	2	Metropoller ve Kamuoyu	Şehir merkezlerine yapılan plansız göçler, konut ve altyapı sorunlarını artırdı. Salgın hastalıklarla mücadele için karantina uygulamaları ve sağlık kurumları geliştirildi. Takvim-i Vekayi, 1831’de yayımlanan ilk resmî Osmanlı gazetesi oldu. Gazetelerin yaygınlaşması kamuoyunun oluşmasına katkı sağladı.
Tarih	44	Mustafa Kemal'in Lider Olarak Yetişmesi	1	Eğitim Hayatı ve Etkilendiği Şehirler	Mustafa Kemal eğitim hayatına Selanik’te başladı; Manastır ve İstanbul’da devam etti. İlk görev yeri olan Şam’da Vatan ve Hürriyet Cemiyetini kurdu. Sofya’da askerî ataşe olarak görev yapması, Avrupa diplomasisini ve Balkan siyasetini yakından tanımasını sağladı. Eğitim gördüğü ve görev yaptığı şehirler, onun askerî ve siyasi kişiliğinin gelişiminde etkili oldu.
Tarih	44	Mustafa Kemal'in Lider Olarak Yetişmesi	2	Fikir Hayatını Etkileyenler	Namık Kemal’in vatan ve hürriyet düşünceleri, Mustafa Kemal’in fikrî gelişiminde etkili oldu. Ziya Gökalp ve Mehmet Emin Yurdakul, milliyetçilik anlayışını; Tevfik Fikret ise yenilikçi düşüncelerini etkiledi. Rousseau’nun halk egemenliği ve cumhuriyetçilik fikirlerinden yararlandı. Bu düşünceler, onun millî egemenlik ve çağdaşlaşma anlayışının temelini oluşturdu.
Tarih	45	20. Yüzyıl Başlarında Osmanlı Devleti	1	Fikir Akımları	Osmanlı Devleti’nin dağılmasını önlemek için Osmanlıcılık, İslamcılık, Türkçülük ve Batıcılık fikir akımları ortaya çıktı. Osmanlıcılık, tüm vatandaşları eşit kabul ederek devleti bir arada tutmayı amaçladı. İslamcılık Müslümanları halife etrafında birleştirmeyi, Türkçülük ise Türk millî bilincini güçlendirmeyi hedefledi. Batıcılık, devletin Avrupa örnek alınarak çağdaşlaştırılmasını savundu.
Tarih	45	20. Yüzyıl Başlarında Osmanlı Devleti	2	Trablusgarp ve Balkan Savaşları	Trablusgarp Savaşı, İtalya’nın Osmanlı’nın Kuzey Afrika’daki son toprağına saldırmasıyla başladı. Mustafa Kemal Derne ve Tobruk’ta başarı kazandı; Uşi Antlaşması ile Trablusgarp ve Bingazi İtalya’ya bırakıldı. Balkan Savaşları sonunda Osmanlı Balkanlardaki topraklarının büyük kısmını kaybetti, ancak II. Balkan Savaşı sırasında Edirne geri alındı. Balkan milletlerinin ayrılması Osmanlıcılık fikrinin geçerliliğini büyük ölçüde yitirmesine yol açtı.
Tarih	46	I. Dünya Savaşı Sürecinde Osmanlı	1	Savaşın Nedenleri ve Girilmesi	I. Dünya Savaşı’nın temel nedenleri sömürgecilik yarışı, silahlanma, bloklaşma ve milliyetçilik akımıdır. Osmanlı Devleti, Almanya ile 2 Ağustos 1914’te ittifak yaptı. Yavuz ve Midilli gemilerinin Rus limanlarını bombalamasıyla Osmanlı savaşa fiilen girdi. Osmanlı yönetimi savaşla kaybedilen toprakları geri almayı ve Almanya’nın desteğinden yararlanmayı amaçladı.
Tarih	46	I. Dünya Savaşı Sürecinde Osmanlı	2	Cepheler	Kafkas Cephesi’nde Sarıkamış Harekâtı başarısız oldu, ancak Mustafa Kemal Muş ve Bitlis’i geri aldı. Irak Cephesi’nde Halil Kut Paşa komutasında Kutü’l-Amâre Zaferi kazanıldı. Çanakkale Cephesi’nde Mustafa Kemal Anafartalar Kahramanı olarak tanındı ve İstanbul’un işgali önlendi. Hicaz Cephesi’nde Fahrettin Paşa Medine Müdafaası’nı yürüttü.
Tarih	46	I. Dünya Savaşı Sürecinde Osmanlı	3	Ermenilerin Sevk ve İskânı	I. Dünya Savaşı sırasında Doğu Anadolu’daki güvenlik sorunları ve bazı Ermeni silahlı gruplarının faaliyetleri üzerine Sevk ve İskân Kanunu çıkarıldı. Kanunla savaş bölgesindeki Ermeni nüfusun bir bölümü Suriye ve Irak bölgelerine nakledildi. Uygulama savaş koşullarında yürütülmüş ve tarihî açıdan tartışmalı bir konu hâline gelmiştir. Konu değerlendirilirken dönemin savaş şartları ve farklı kaynaklar birlikte ele alınmalıdır.
Tarih	47	I. Dünya Savaşı'nın Sonuçları	1	Genel Sonuçlar	I. Dünya Savaşı sonunda Osmanlı, Almanya, Avusturya-Macaristan ve Rusya gibi büyük imparatorluklar yıkıldı. Avrupa’da yeni ulus devletler kuruldu. Barışı korumak amacıyla Milletler Cemiyeti oluşturuldu. Sömürgeciliğin yerini manda ve himaye sistemi aldı; savaş sonrası Avrupa’da yeni siyasi rejimler ortaya çıktı.
Tarih	47	I. Dünya Savaşı'nın Sonuçları	2	Mondros Ateşkes Antlaşması (1918)	Mondros Ateşkes Antlaşması 30 Ekim 1918’de imzalandı ve Osmanlı Devleti savaştan çekildi. 7. madde, İtilaf Devletlerine güvenlik gerekçesiyle istedikleri stratejik noktayı işgal etme hakkı verdi. 24. madde ise Vilayet-i Sitte’de karışıklık çıkması durumunda işgal yolunu açtı. Ateşkesten sonra ilk işgal edilen Osmanlı toprağı Musul oldu.
Tarih	48	Millî Mücadele'ye Hazırlık Dönemi-I	1	İzmir'in İşgali ve Kuvay-ı Milliye	15 Mayıs 1919’da İzmir’in Yunanistan tarafından işgali, Millî Mücadele’nin yayılmasını hızlandırdı. Hasan Tahsin’in ilk kurşunu atması direnişin sembollerinden biri oldu. İşgallere karşı halkın oluşturduğu bölgesel direniş birliklerine Kuvay-ı Milliye denir. Amiral Bristol Raporu, Yunan işgalinin haksızlığını ortaya koyan ilk uluslararası belge olarak kabul edilir.
Tarih	48	Millî Mücadele'ye Hazırlık Dönemi-I	2	Cemiyetler	İşgaller karşısında Türk halkı millî cemiyetler kurarak bölgesel direnişi örgütledi. Redd-i İlhak ve Trakya-Paşaeli gibi cemiyetler vatanın bütünlüğünü korumayı amaçladı. Azınlık cemiyetleri ise bağımsız devlet kurmak için çalıştı. İngiliz Muhipleri ve Wilson Prensipleri Cemiyeti gibi bazı kuruluşlar manda ve himaye fikrini savundu.
Tarih	49	Millî Mücadele'ye Hazırlık Dönemi-II	1	Havza ve Amasya Genelgeleri	Havza Genelgesi ile işgallere karşı miting ve protesto yapılması istendi. Amasya Genelgesi, Millî Mücadele’nin gerekçe, amaç ve yöntemini ilk kez açıklayan belgedir. Genelgede milletin bağımsızlığını yine milletin azim ve kararının kurtaracağı vurgulandı. Bu durum millî egemenlik anlayışının açık biçimde ortaya konduğunu gösterir.
Tarih	49	Millî Mücadele'ye Hazırlık Dönemi-II	2	Erzurum ve Sivas Kongreleri	Erzurum Kongresi’nde millî sınırlardan ilk kez söz edildi, manda ve himaye ilk kez reddedildi ve Temsil Heyeti oluşturuldu. Sivas Kongresi’nde bütün yararlı cemiyetler Anadolu ve Rumeli Müdafaa-i Hukuk Cemiyeti altında birleştirildi. Manda ve himaye kesin olarak reddedildi. Sivas Kongresi ulusal nitelikte olması bakımından Millî Mücadele’nin önemli dönüm noktalarındandır.
Tarih	49	Millî Mücadele'ye Hazırlık Dönemi-II	3	Amasya Görüşmeleri ve Misak-ı Milli	Amasya Görüşmeleri ile İstanbul Hükûmeti, Temsil Heyeti’ni resmen tanıdı. Son Osmanlı Mebusan Meclisi Misak-ı Millî kararlarını kabul ederek millî sınırları ve bağımsızlık hedeflerini belirledi. Bunun üzerine İstanbul 16 Mart 1920’de resmen işgal edildi. İşgal sonrasında birçok milletvekili Ankara’ya geçerek BMM’nin açılmasına katkı sağladı.
Tarih	50	Büyük Millet Meclisi'nin Açılması ve Sevr	1	BMM'nin Açılması ve İsyanlar	23 Nisan 1920’de Ankara’da BMM açıldı ve millî egemenlik anlayışı benimsendi. Yasama ve yürütme yetkilerinin mecliste toplanmasıyla güçler birliği ilkesi uygulandı. BMM’ye karşı çıkan isyanlarla mücadele için Hıyanet-i Vataniye Kanunu çıkarıldı ve İstiklal Mahkemeleri kuruldu. Meclis Hükûmeti Sistemi, olağanüstü savaş şartlarında hızlı karar almayı amaçladı.
Tarih	50	Büyük Millet Meclisi'nin Açılması ve Sevr	2	Sevr Antlaşması	Sevr Antlaşması 10 Ağustos 1920’de Osmanlı Devleti’ne kabul ettirilmeye çalışıldı. Antlaşma Anadolu’yu büyük ölçüde parçalamayı ve Osmanlı Devleti’ni siyasi, askerî ve ekonomik açıdan etkisiz bırakmayı hedefliyordu. Osmanlı Mebusan Meclisi tarafından onaylanmadığı için hukuken yürürlüğe girmedi. BMM Sevr’i tanımadı ve antlaşmayı imzalayanları vatan haini saydı.
Tarih	51	Doğu, Güney ve Batı Cepheleri	1	Doğu ve Güney Cepheleri	Doğu Cephesi’nde Kazım Karabekir komutasındaki Türk ordusu Ermenilere karşı başarı kazandı. 3 Aralık 1920 Gümrü Antlaşması, BMM’nin imzaladığı ilk siyasi antlaşmadır. Güney Cephesi’nde düzenli ordudan çok halk direnişi etkili oldu; Maraş, Urfa ve Antep halkı önemli mücadeleler verdi. 1921 Ankara Antlaşması ile Fransa ile savaş sona erdi.
Tarih	51	Doğu, Güney ve Batı Cepheleri	2	Batı Cephesi I. ve II. İnönü Muharebeleri	I. İnönü Zaferi, düzenli ordunun Batı Cephesi’ndeki ilk askerî başarısıdır. Zafer sonrasında BMM Londra Konferansı’na davet edildi, 1921 Anayasası ve İstiklal Marşı kabul edildi. Moskova Antlaşması ile Sovyet Rusya BMM’yi tanıyan ilk Avrupa devleti oldu. II. İnönü Zaferi, düzenli orduya duyulan güveni artırdı.
Tarih	51	Doğu, Güney ve Batı Cepheleri	3	Kütahya-Eskişehir ve Sakarya Savaşları	Kütahya-Eskişehir Savaşları sonrasında Türk ordusu Sakarya Nehri’nin doğusuna çekildi. Mustafa Kemal Başkomutan seçildi ve Tekâlif-i Millîye Emirleri yayımlandı. Sakarya Meydan Muharebesi ile Türk ordusunun geri çekilişi sona erdi. Bu zaferden sonra Türk ordusu savunmadan taarruza geçme fırsatı buldu.
Tarih	52	Millî Mücadele'nin Sona Ermesi	1	Büyük Taarruz ve Mudanya	Büyük Taarruz 26 Ağustos 1922’de başladı ve 30 Ağustos Başkomutanlık Meydan Muharebesi ile kesin zafer kazanıldı. Yunan ordusu Batı Anadolu’dan çıkarıldı ve askerî mücadele büyük ölçüde sona erdi. 11 Ekim 1922 Mudanya Ateşkesi ile Doğu Trakya, İstanbul ve Boğazlar savaşılmadan geri alındı. Mudanya, Lozan Barış Konferansı’nın yolunu açtı.
Tarih	52	Millî Mücadele'nin Sona Ermesi	2	Lozan Barış Antlaşması	Lozan Barış Antlaşması 24 Temmuz 1923’te imzalandı ve Türkiye’nin bağımsızlığı uluslararası alanda kabul edildi. Kapitülasyonlar kaldırıldı, Düyûn-ı Umûmiye İdaresi sona erdi ve azınlıklar Türk vatandaşı kabul edildi. Musul sorunu çözülemedi; Boğazlar askersizleştirilmiş uluslararası komisyonun denetimine bırakıldı. Lozan, Sevr Antlaşması’nı geçersiz kılan temel barış antlaşmasıdır.
Tarih	53	Atatürk İlkeleri-Siyasi ve Hukuki Gelişmeler	1	Siyasi Alanda İnkılaplar	1 Kasım 1922’de saltanat kaldırılarak millî egemenlik anlayışı güçlendirildi. 13 Ekim 1923’te Ankara başkent oldu, 29 Ekim 1923’te Cumhuriyet ilan edildi. 3 Mart 1924’te halifelik kaldırılarak laikleşme yolunda önemli bir adım atıldı. 1924 Anayasası ile yeni devletin temel yapısı düzenlendi.
Tarih	53	Atatürk İlkeleri-Siyasi ve Hukuki Gelişmeler	2	Hukuk Alanı ve Medeni Kanun	1926’da İsviçre Medeni Kanunu örnek alınarak Türk Medeni Kanunu kabul edildi. Mecelle kaldırıldı ve hukuk birliği güçlendirildi. Kadınlara mirasta eşitlik, boşanma davası açma ve meslek seçme gibi sosyal-ekonomik haklar tanındı. Tek eşlilik ve resmî nikâh zorunlu hâle getirildi; kadınlara siyasi haklar ise sonraki yıllarda verildi.
Tarih	54	Atatürk Dönemi'nde Yapılan İnkılaplar	1	Eğitim, Kültür ve Toplumsal İnkılaplar	Tevhid-i Tedrisat Kanunu ile bütün eğitim kurumları Millî Eğitim Bakanlığına bağlandı ve eğitimde birlik sağlandı. Harf İnkılabı ile Latin esaslı Türk alfabesi kabul edildi; Millet Mektepleri açılarak okuma yazma seferberliği başlatıldı. Türk Tarih Kurumu ve Türk Dil Kurumu kuruldu. Soyadı Kanunu, kılık-kıyafet düzenlemeleri ile takvim, saat ve ölçülerde yapılan değişiklikler toplumsal modernleşmeyi destekledi.
Tarih	54	Atatürk Dönemi'nde Yapılan İnkılaplar	2	Ekonomi Alanındaki Gelişmeler	İzmir İktisat Kongresi’nde millî ve bağımsız ekonomi hedefi benimsendi. Aşar vergisi kaldırılarak çiftçilerin yükü hafifletildi; Kabotaj Kanunu ile Türk denizciliği desteklendi. 1929 Dünya Ekonomik Bunalımı sonrasında devletçilik ilkesi öne çıktı. Sümerbank ve Merkez Bankası gibi kurumlar kuruldu, devlet eliyle fabrikalar ve sanayi yatırımları artırıldı.
