ders	ünite_adı	konu_adı	soru_metni	a	b	c	d	e	dogru	açıklama	zorluk
Tarih	İnsanlığın Hafızası Tarih	Tarih Bilimi ve Konusu	Tarihin diğer sosyal bilimlerden ayrılan en belirgin özelliği aşağıdakilerden hangisidir?	İnsan topluluklarını yalnızca ekonomik yönüyle incelemesi	Olayları deney ve gözlem yoluyla tekrar edebilmesi	İnsan faaliyetlerini yer, zaman ve sebep-sonuç ilişkisi içinde belgelere dayalı incelemesi	Yalnızca devletler arası savaşları konu edinmesi	Doğanın fiziksel özelliklerini araştırması	c	Tarih, insan topluluklarının geçmişteki faaliyetlerini yer ve zaman göstererek; sebep-sonuç ilişkisi içinde belgelere dayanarak inceler.	orta
Tarih	İnsanlığın Hafızası Tarih	Tarih Bilimi ve Konusu	Bir tarihçinin geçmişte yaşanan bir olayı bugünün değer yargılarıyla değil, yaşandığı dönemin koşullarıyla değerlendirmesi aşağıdakilerden hangisini gösterir?	Tarihî olayların tekrarlanabileceğini	Tarihî bilginin yalnızca sözlü kaynaklara dayandığını	Tarihî olayların kendi dönemi içinde ele alınması gerektiğini	Tarihte kesin kanunların bulunduğunu	Tarihin deneysel bir bilim olduğunu	c	Tarihî olaylar doğru yorumlanabilmek için yaşandıkları dönemin siyasi, sosyal ve kültürel şartları içinde değerlendirilmelidir.	orta
Tarih	İnsanlığın Hafızası Tarih	Kaynakların Sınıflandırılması	Aşağıdakilerden hangisi birinci el tarihî kaynağa örnektir?	Ders kitabı	Ansiklopedi	Olay dönemine ait ferman	Belgesel film	Tarih araştırma kitabı	c	Birinci el kaynaklar, olayın yaşandığı döneme ait belge ve buluntulardır. Fermanlar dönemin resmî belgeleri olduğu için birinci el kaynaktır.	kolay
Tarih	İnsanlığın Hafızası Tarih	Kaynakların Sınıflandırılması	Bir tarihçinin Osmanlı dönemine ait kitabe, para ve fermanları incelemesi öncelikle hangi tür kaynaklardan yararlandığını gösterir?	İkinci el kaynaklar	Sözlü kaynaklar	Birinci el kaynaklar	Edebî kaynaklar	Yardımcı kaynaklar	c	Kitabe, para ve ferman olayın yaşandığı döneme ait olduğu için birinci el tarihî kaynak sayılır.	orta
Tarih	İnsanlığın Hafızası Tarih	Tarihe Yardımcı Bilim Dalları	Tarih öncesi dönemlerin aydınlatılmasında tarihe en çok yardımcı olan bilim dalı aşağıdakilerden hangisidir?	Paleografya	Nümismatik	Arkeoloji	Epigrafi	Filoloji	c	Arkeoloji kazılar yoluyla toprak ve su altındaki maddi kalıntıları ortaya çıkarır. Tarih öncesi dönemlerde yazı olmadığı için en çok arkeolojiden yararlanılır.	kolay
Tarih	İnsanlığın Hafızası Tarih	Tarihe Yardımcı Bilim Dalları	Aşağıdaki bilim dallarından hangisinin eşleştirmesi doğrudur?	Nümismatik - Eski yazıları inceleme	Paleografya - Paraları inceleme	Epigrafi - Kitabe ve mezar taşlarındaki yazıları inceleme	Kronoloji - Toplumların geleneklerini inceleme	Etnografya - Devlet armalarını inceleme	c	Epigrafi, kitabe, anıt ve mezar taşları üzerindeki yazıları inceler.	orta
Tarih	Zamanın Taksimi	Takvim Sistemlerinin Doğuşu	Tarihte bilinen ilk Ay yılı esaslı takvimi kullanan uygarlık aşağıdakilerden hangisidir?	Mısırlılar	Sümerler	Romalılar	Yunanlar	İbraniler	b	Sümerler, Ay’ın Dünya etrafındaki hareketini esas alan ilk takvimi kullanmıştır.	kolay
Tarih	Zamanın Taksimi	Takvim Sistemlerinin Doğuşu	Aşağıdaki eşleştirmelerden hangisi doğrudur?	Müslümanlar - İlk Olimpiyat Oyunları	Hristiyanlar - Hz. Muhammed’in hicreti	Yunanlar - MÖ 776 İlk Olimpiyat Oyunları	İbraniler - Hz. İsa’nın doğumu	Romalılar - Yaradılış yılı	c	Yunanlar takvim başlangıcı olarak ilk olimpiyat oyunlarının yapıldığı MÖ 776 yılını kabul etmiştir.	orta
Tarih	Zamanın Taksimi	Türklerin Kullandığı Takvimler	Aşağıdakilerden hangisi Türklerin kullandığı ilk takvimdir?	Hicrî Takvim	Celâlî Takvim	Rûmî Takvim	On İki Hayvanlı Türk Takvimi	Miladi Takvim	d	On İki Hayvanlı Türk Takvimi, Türklerin kullandığı ilk takvimdir; Güneş yılı esaslıdır ve yıllar hayvan adlarıyla gösterilir.	kolay
Tarih	Zamanın Taksimi	Türklerin Kullandığı Takvimler	Osmanlı Devleti’nde mali işlerin düzenlenmesi amacıyla kullanılan takvim aşağıdakilerden hangisidir?	Hicrî Takvim	Celâlî Takvim	Rûmî Takvim	On İki Hayvanlı Türk Takvimi	Miladi Takvim	c	Rûmî Takvim, Osmanlı Devleti’nde özellikle mali işlerin düzenlenmesi amacıyla kullanılmıştır.	orta
Tarih	Zamanın Taksimi	Türklerin Kullandığı Takvimler	Hicrî Takvim ile ilgili aşağıdakilerden hangisi doğrudur?	Güneş yılı esasına dayanır	Başlangıç yılı 1079’dur	Yıllar hayvan adlarıyla gösterilir	Hz. İsa’nın doğumunu başlangıç kabul eder	Hz. Muhammed’in hicretini başlangıç kabul eder	e	Hicrî Takvim Ay yılı esaslıdır ve başlangıç olarak 622 yılındaki Hicret’i kabul eder.	orta
Tarih	Avrasya'da İlk Türk İzleri	Avrasya ve Türk Adı	Türk adının anlamı ile ilgili aşağıdakilerden hangisi doğru bir bilgi değildir?	Güçlü ve kuvvetli anlamında kullanılmıştır	Türeyiş ve çoğalma anlamıyla ilişkilendirilmiştir	Töreli, düzenli anlamında yorumlanmıştır	Yalnızca belirli bir boyun adı olarak kullanılmıştır	Olgunluk çağı anlamıyla açıklanmıştır	d	Türk adı yalnızca belirli bir boyun adı değildir; zamanla siyasi ve etnik bir ad olarak geniş bir topluluğu ifade etmiştir.	orta
Tarih	Avrasya'da İlk Türk İzleri	Avrasya ve Türk Adı	Türk adını devlet adı olarak kullanan ilk Türk devleti aşağıdakilerden hangisidir?	Asya Hun Devleti	Avrupa Hun Devleti	I. Kök Türk Devleti	Uygur Devleti	Hazar Devleti	c	Türk adını devlet adı olarak kullanan ilk Türk devleti I. Kök Türk Devleti’dir.	kolay
Tarih	Avrasya'da İlk Türk İzleri	Orta Asya Kültür Merkezleri	Aşağıdaki kültür merkezlerinden hangisi Türklerde atın evcilleştirildiği ve atlı göçebe yaşamın geliştiği yerlerden biri olarak kabul edilir?	Anav	Afanasyevo	Andronova	Karasuk	Taspar	b	Afanasyevo Kültürü, atın evcilleştirilmesi ve atlı göçebe yaşamın gelişimiyle ilişkilendirilir.	orta
Tarih	Avrasya'da İlk Türk İzleri	Orta Asya Kültür Merkezleri	Türk kültür çevresinde demirin işlenmesi ve savaş araçlarının gelişmesiyle öne çıkan kültür merkezi aşağıdakilerden hangisidir?	Anav	Afanasyevo	Andronova	Karasuk	Taş Devri	d	Karasuk Kültürü’nde demir işçiliği ilerlemiş, silah ve savaş araçlarında önemli gelişmeler görülmüştür.	orta
Tarih	Avrasya'da İlk Türk İzleri	Bozkır Coğrafyası ve Askerî Kültür	Bozkır coğrafyasının Türk toplumlarında aşağıdakilerden hangisinin gelişmesinde daha etkili olduğu söylenebilir?	Deniz ticaretinin	Şehir devletlerinin	Atlı savaşçılığın ve hareketli orduların	Derebeylik sisteminin	Toprağa bağlı köylü düzeninin	c	Bozkır yaşamı, hayvancılığa dayalı hareketli hayatı ve atlı savaşçılığı geliştirmiştir.	kolay
Tarih	Avrasya'da İlk Türk İzleri	Bozkır Coğrafyası ve Askerî Kültür	İlk Türk devletlerinde uygulanan onlu sistemin temel amacı aşağıdakilerden hangisidir?	Vergi gelirlerini artırmak	Orduyu düzenli ve kolay yönetilebilir hâle getirmek	Tarım üretimini denetlemek	Dinî törenleri düzenlemek	Şehirlerde güvenliği sağlamak	b	Onlu sistem, ordunun on, yüz, bin ve on binlik birliklere ayrılarak düzenli biçimde yönetilmesini sağlamıştır.	orta
Tarih	Avrasya'da İlk Türk İzleri	Bozkır Coğrafyası ve Askerî Kültür	Türk savaş taktiklerinden biri olan Turan Taktiği’nin temel özelliği aşağıdakilerden hangisidir?	Kaleleri uzun süre kuşatmak	Doğrudan merkezden saldırmak	Sahte geri çekilme ile düşmanı çember içine almak	Yalnızca gece baskınları yapmak	Düşmanı aç bırakmak	c	Turan Taktiği’nde birlikler geri çekiliyor gibi yaparak düşmanı uygun alana çeker ve çevreleyerek saldırır.	orta
Tarih	Boylardan Devlete-I	Türklerde Sosyal Yapı	İlk Türk devletlerinde toplumun en küçük sosyal birimi aşağıdakilerden hangisidir?	Boy	Budun	Oguş	İl	Uluf	e	İlk Türk toplumunda aileye oguş denirdi. Oguşların birleşmesiyle urug, urugların birleşmesiyle boy, boyların birleşmesiyle budun oluşurdu.	kolay
Tarih	Boylardan Devlete-I	Türklerde Sosyal Yapı	İlk Türk devletlerinde boyların birleşmesiyle oluşan ve ortak dil, kültür ile siyasi bağ taşıyan topluluğa ne ad verilirdi?	Oguş	Urug	Budun	İl	Toy	c	Budun, boyların birleşmesiyle oluşan millet anlamındaki topluluktur.	orta
Tarih	Boylardan Devlete-I	Kut Anlayışı ve Devlet Teşkilatı	İlk Türk devletlerinde hükümdara devleti yönetme yetkisinin Gök Tanrı tarafından verildiğine inanılması aşağıdaki kavramlardan hangisiyle açıklanır?	Töre	Kut	Kurgan	Toy	Tamga	b	Kut anlayışına göre hükümdarlık yetkisi Gök Tanrı tarafından hanedana verilirdi.	kolay
Tarih	Boylardan Devlete-I	Kut Anlayışı ve Devlet Teşkilatı	Aşağıdakilerden hangisi ilk Türk devletlerinde hükümdarın yetkilerini sınırlayan unsurlardan biri değildir?	Töre	Kurultay	Kut anlayışı	Halkın gelenekleri	Hükümdarın keyfî kararları	e	Töre, kurultay ve gelenekler hükümdarın yetkilerini sınırlandırırdı. Hükümdarın keyfî kararları ise sınırlayıcı değil, aksine sınırsız yönetim anlayışını ifade eder.	orta
Tarih	Boylardan Devlete-II	Asya Hun ve I. Kök Türk Devletleri	Asya Hun Devleti’nin en güçlü hükümdarı kabul edilen ve Çin’e karşı mücadele eden hükümdar aşağıdakilerden hangisidir?	Teoman	Mete Han	Bumin Kağan	Kutluk Kağan	Bilge Kağan	b	Mete Han, Asya Hun Devleti’nin en güçlü hükümdarıdır. Çin’e karşı mücadele etmiş ve Türk ordusundaki onlu sistemi geliştirmiştir.	kolay
Tarih	Boylardan Devlete-II	Asya Hun ve I. Kök Türk Devletleri	I. Kök Türk Devleti’nin kısa sürede geniş bir coğrafyada hâkimiyet kurmasında aşağıdakilerden hangisinin etkili olduğu söylenebilir?	Deniz ticaretine ağırlık vermesi	İpek Yolu’na hâkim olmak istemesi	Feodal yönetim uygulaması	Yerleşik tarıma geçmesi	Avrupa devletleriyle ittifak kurması	b	I. Kök Türk Devleti, İpek Yolu’nun denetimini ele geçirmek için mücadele etmiş; bu durum siyasi ve ekonomik gücünü artırmıştır.	orta
Tarih	Boylardan Devlete-II	II. Kök Türk ve Uygur Devletleri	II. Kök Türk Devleti’nde Türk tarihinin ilk yazılı belgeleri kabul edilen Orhun Yazıtları aşağıdaki hükümdarlardan hangisi döneminde dikilmiştir?	Mete Han	Attila	Bilge Kağan	Bumin Kağan	İstemi Yabgu	c	Orhun Yazıtları, Bilge Kağan, Kültigin ve Tonyukuk adına dikilmiştir. Türk tarihinin ilk yazılı belgeleri kabul edilir.	kolay
Tarih	Boylardan Devlete-II	II. Kök Türk ve Uygur Devletleri	Uygurların Maniheizm dinini kabul etmelerinin aşağıdakilerden hangisine ortam hazırladığı söylenebilir?	Savaşçı özelliklerinin güçlenmesine	Konar-göçer yaşamın tamamen yayılmasına	Yerleşik yaşama ve şehir kültürüne yönelmelerine	İpek Yolu üzerindeki hâkimiyetlerinin sona ermesine	Kut anlayışının ortadan kalkmasına	c	Maniheizm et yemeyi ve savaşçılığı sınırlayan yönleriyle Uygurları yerleşik yaşama, tarıma ve şehir kültürüne yöneltmiştir.	orta
Tarih	Boylardan Devlete-II	İlk Türk Devletlerinde Töre	İlk Türk devletlerinde yazısız hukuk kurallarına verilen ad aşağıdakilerden hangisidir?	Kut	Töre	Tamga	Kurgan	Şölen	b	Töre, ilk Türk devletlerinde toplum ve devlet hayatını düzenleyen yazısız hukuk kurallarıdır.	kolay
Tarih	Boylardan Devlete-II	İlk Türk Devletlerinde Töre	Aşağıdakilerden hangisi ilk Türk devletlerinde törenin oluşmasında etkili olan unsurlardan biri değildir?	Hükümdar kararları	Kurultay kararları	Halkın gelenekleri	Gök Tanrı inancı	Yazılı anayasa hükümleri	e	Töre; gelenekler, kurultay kararları ve hükümdar emirleriyle oluşurdu. İlk Türk devletlerinde modern anlamda yazılı anayasa yoktur.	orta
Tarih	Kavimler Göçü	Kavimler Göçü ve Sonuçları	Kavimler Göçü'nün başlamasında etkili olan temel gelişme aşağıdakilerden hangisidir?	Roma İmparatorluğu'nun ikiye ayrılması	Hunların batıya doğru ilerlemesi	Feodalitenin güçlenmesi	İlk Çağ'ın sona ermesi	Avrupa milletlerinin kurulması	b	Hunların Balamir önderliğinde batıya ilerlemesi, Germen kavimlerini Roma topraklarına yöneltmiş ve Kavimler Göçü'nü başlatmıştır.	kolay
Tarih	Kavimler Göçü	Kavimler Göçü ve Sonuçları	Aşağıdakilerden hangisi Kavimler Göçü'nün Avrupa'daki sonuçlarından biri değildir?	Roma İmparatorluğu'nun Doğu ve Batı olarak ayrılması	Feodalitenin güç kazanması	Skolastik düşüncenin yayılması	Avrupa milletlerinin temellerinin atılması	Merkezî krallıkların hemen güçlenmesi	e	Kavimler Göçü sonrasında Avrupa'da merkezî krallıklar değil, derebeylik yani feodalite güç kazanmıştır.	orta
Tarih	Kavimler Göçü	Avrupa Hun Devleti	Avrupa Hun Devleti'nin en güçlü dönemi aşağıdaki hükümdarlardan hangisi zamanında yaşanmıştır?	Balamir	Uldız	Attila	Mete Han	Bilge Kağan	c	Avrupa Hun Devleti, Attila döneminde siyasi ve askerî açıdan en geniş etki alanına ulaşmıştır.	kolay
Tarih	Kavimler Göçü	Avrupa Hun Devleti	Attila'nın Doğu Roma'yı vergiye bağlamasında etkili olan antlaşmalar aşağıdakilerden hangisidir?	Karadeniz ve İstanbul	Karlofça ve Pasarofça	Margus ve Anatolios	Prut ve Belgrad	Zitvatorok ve Bucaş	c	Attila, Doğu Roma ile yaptığı Margus ve Anatolios Antlaşmaları sonucunda Doğu Roma'yı vergiye bağlamıştır.	orta
Tarih	Kavimler Göçü	Diğer Türk Boyları	Aşağıdaki Türk boylarından hangisi Museviliği benimseyen tek Türk devleti olarak bilinir?	Avarlar	Hazarlar	Karluklar	Peçenekler	Kıpçaklar	b	Hazarlar, Museviliği benimseyen tek Türk devleti olarak bilinir.	kolay
Tarih	Kavimler Göçü	Diğer Türk Boyları	Aşağıdaki eşleştirmelerden hangisi doğrudur?	Avarlar - Talas Savaşı'nda Abbasilere yardım etmiştir	Karluklar - İstanbul'u kuşatan ilk Türk devletidir	Peçenekler - Malazgirt Savaşı'nda Selçukluların yanında yer almıştır	Hazarlar - Maniheizmi kabul etmiştir	Uygurlar - Museviliği benimsemiştir	c	Peçenekler, 1071 Malazgirt Savaşı'nda Büyük Selçuklu Devleti'nin yanında Bizans'a karşı mücadele etmiştir.	orta
Tarih	İslamiyet'in Doğduğu Dönemde Dünya	İslam Öncesi Arap Yarımadası	İslamiyet öncesinde Arap Yarımadası'nda siyasi birlik bulunmaması ve kabileciliğin etkili olması bu dönemin hangi adla anılmasına ortam hazırlamıştır?	Hicret Dönemi	Asr-ı Saadet	Cahiliye Dönemi	Emeviler Dönemi	Abbasiler Dönemi	c	İslamiyet öncesindeki siyasi, sosyal ve dinî yapı nedeniyle bu dönem Cahiliye Dönemi olarak adlandırılır.	kolay
Tarih	İslamiyet'in Doğduğu Dönemde Dünya	İslam Öncesi Arap Yarımadası	Haram aylarda savaş yapılması yasak olmasına rağmen gerçekleştirilen savaşlara ne ad verilmiştir?	Bedir Savaşları	Ficâr Savaşları	Yermük Savaşı	Cemel Vakası	Sıffin Savaşı	b	Haram aylarda yapılması yasak olduğu hâlde gerçekleşen savaşlara Ficâr Savaşları denilmiştir.	orta
Tarih	İslamiyet'in Doğduğu Dönemde Dünya	Dört Halife Dönemi	Dört Halife Dönemi'nin Cumhuriyet Dönemi olarak da adlandırılmasının temel nedeni aşağıdakilerden hangisidir?	Halifeliğin babadan oğula geçmesi	Halifelerin seçimle iş başına gelmesi	Devlet merkezinin Bağdat olması	Türklerin orduya alınması	Mevali politikasının uygulanması	b	Dört Halife Dönemi'nde halifeler seçim yoluyla belirlenmiştir; bu nedenle dönem Cumhuriyet Dönemi olarak da anılır.	kolay
Tarih	İslamiyet'in Doğduğu Dönemde Dünya	Dört Halife Dönemi	Aşağıdaki gelişmelerden hangisi Hz. Osman döneminde yaşanmıştır?	Kur'an-ı Kerim'in kitap hâline getirilmesi	İran, Irak, Suriye ve Mısır'ın fethedilmesi	İlk İslam donanmasının kurulması	Cemel Vakası'nın yaşanması	Hicret'in gerçekleşmesi	c	Hz. Osman döneminde ilk İslam donanması kurulmuş ve Kur'an-ı Kerim çoğaltılarak eyaletlere gönderilmiştir.	orta
Tarih	Emeviler	Emevi Siyaseti ve Mevali Politikası	Emeviler döneminde halifeliğin saltanata dönüşmesine neden olan gelişme aşağıdakilerden hangisidir?	Muaviye'nin oğlu Yezid'i veliaht göstermesi	Hz. Ebubekir'in halife seçilmesi	Abbasilerin Bağdat'ı başkent yapması	Talas Savaşı'nın yapılması	İlk İslam donanmasının kurulması	a	Muaviye'nin oğlu Yezid'i veliaht ilan etmesiyle halifelik seçimle belirlenen bir makam olmaktan çıkıp saltanata dönüşmüştür.	kolay
Tarih	Emeviler	Emevi Siyaseti ve Mevali Politikası	Emevilerin Arap olmayan Müslümanlara ikinci sınıf muamele yapmasına verilen ad aşağıdakilerden hangisidir?	İstimâlet	Devşirme	Mevali	Tımar	Malikâne	c	Mevali politikası, Emevilerin Arap olmayan Müslümanlara uyguladığı ayrımcı siyasettir.	kolay
Tarih	Emeviler	Emevi Siyaseti ve Mevali Politikası	Mevali politikasının Türk tarihi açısından en önemli sonucu aşağıdakilerden hangisidir?	Türklerin İslamiyet'i kabulünün gecikmesi	Anadolu'nun Türkleşmesi	İlk Türk devletlerinin yıkılması	Haçlı Seferlerinin başlaması	İstanbul'un fethedilmesi	a	Mevali politikası Türkler arasında İslamiyet'in yayılmasını geciktirmiş ve Emevilere karşı tepki oluşturmuştur.	orta
Tarih	Abbasi Devleti ve Türkler - Bilim	Abbasiler ve Mısır'da Kurulan Türk Devletleri	Abbasilerin Türklerle ilişkilerinde Emevilerden farklı bir siyaset izlediğini gösteren uygulama aşağıdakilerden hangisidir?	Mevali politikasını sürdürmeleri	Türkleri ordu ve devlet yönetiminde görevlendirmeleri	Halifeliği saltanata dönüştürmeleri	İstanbul'u kuşatmaları	Kerbela Olayı'nı gerçekleştirmeleri	b	Abbasiler Mevali anlayışını kaldırarak Türklerin askerî ve idarî görevlerde daha fazla yer almasını sağlamıştır.	orta
Tarih	Abbasi Devleti ve Türkler - Bilim	Abbasiler ve Mısır'da Kurulan Türk Devletleri	Mısır'da kurulan ilk Müslüman Türk devleti aşağıdakilerden hangisidir?	Tolunoğulları	İhşidiler	Eyyubiler	Memlükler	Karahanlılar	a	Tolunoğulları, Mısır'da kurulan ilk Müslüman Türk devletidir.	kolay
Tarih	Abbasi Devleti ve Türkler - Bilim	Abbasiler ve Mısır'da Kurulan Türk Devletleri	Selahaddin Eyyubi'nin Hıttin Savaşı'ndaki başarısının en önemli sonucu aşağıdakilerden hangisidir?	İstanbul'un fethedilmesi	Kudüs'ün Haçlılardan geri alınması	Anadolu'nun Türkleşmesi	Endülüs'ün kurulması	Moğolların yenilmesi	b	1187 Hıttin Savaşı sonrasında Selahaddin Eyyubi, Kudüs'ü Haçlılardan geri almıştır.	orta
Tarih	Abbasi Devleti ve Türkler - Bilim	İslam Medeniyetinde Âlimler	El-Kanun fi't-Tıbb adlı eseriyle tıp alanında tanınan İslam âlimi aşağıdakilerden hangisidir?	Farabi	Gazali	İbn Sina	İbn Rüşd	Kaşgarlı Mahmut	c	İbn Sina, El-Kanun fi't-Tıbb adlı eseriyle tıp alanında hem İslam dünyasını hem Avrupa'yı etkilemiştir.	kolay
Tarih	Abbasi Devleti ve Türkler - Bilim	İslam Medeniyetinde Âlimler	Aşağıdaki bilim insanı ve çalışma alanı eşleştirmelerinden hangisi doğrudur?	Farabi - Tıp	İbn Sina - Astronomi	Gazali - Dinî ilimler	İbn Rüşd - Coğrafya	Harezmi - Mimarlık	c	Gazali dinî ilimler ve düşünce alanındaki çalışmalarıyla tanınır.	orta
