ders	ünite_adı	konu_adı	soru_metni	a	b	c	d	e	dogru	açıklama	zorluk
Tarih	Osmanlı Devleti'nde Darbeler	1876 Darbesi ve 31 Mart Vakası	1876'da ilan edilen Kanun-ı Esasi'nin Türk siyasi tarihi açısından önemi aşağıdakilerden hangisidir?	İlk siyasal parti olması	İlk yazılı anayasa olması	İlk cumhuriyet anayasası olması	Saltanatı kaldırması	Halifeliği sona erdirmesi	b	Kanun-ı Esasi, Türk tarihinin ilk yazılı anayasasıdır ve I. Meşrutiyet Dönemi'ni başlatmıştır.	kolay
Tarih	Osmanlı Devleti'nde Darbeler	1876 Darbesi ve 31 Mart Vakası	Kanun-ı Esasi döneminde Meclis-i Umumi'nin halk tarafından seçilen üyelerinin bulunduğu kanat aşağıdakilerden hangisidir?	Âyan Meclisi	Mebusan Meclisi	Divan-ı Hümayun	Şûra-yı Devlet	Meclis-i Vükela	b	Meclis-i Mebusan üyeleri sınırlı da olsa halk tarafından seçimle belirlenirdi; Âyan Meclisi üyelerini padişah seçerdi.	orta
Tarih	Osmanlı Devleti'nde Darbeler	1876 Darbesi ve 31 Mart Vakası	II. Meşrutiyet'in ilan edilmesiyle yeniden yürürlüğe konan anayasa aşağıdakilerden hangisidir?	Tanzimat Fermanı	Islahat Fermanı	Kanun-ı Esasi	Sened-i İttifak	Teşkilat-ı Esasiye	c	1908'de II. Meşrutiyet ilan edilince Kanun-ı Esasi yeniden yürürlüğe konmuştur.	kolay
Tarih	Osmanlı Devleti'nde Darbeler	1876 Darbesi ve 31 Mart Vakası	31 Mart Olayı'nın bastırılmasından sonra meydana gelen gelişme aşağıdakilerden hangisidir?	II. Abdülhamid'in tahttan indirilmesi	Meşrutiyetin tamamen kaldırılması	Saltanatın kaldırılması	Osmanlı Devleti'nin savaşa girmesi	Cumhuriyetin ilan edilmesi	a	31 Mart Ayaklanması Hareket Ordusu tarafından bastırılmış; ardından II. Abdülhamid tahttan indirilmiştir.	orta
Tarih	20. Yüzyıl Başlarında Osmanlı Devleti	Trablusgarp ve Balkan Savaşları	Trablusgarp Savaşı'nın başlamasına neden olan gelişme aşağıdakilerden hangisidir?	Fransa'nın Mısır'ı işgali	İtalya'nın Trablusgarp'a saldırması	Yunanistan'ın İzmir'i işgali	Rusya'nın Kırım'ı işgali	İngiltere'nin İstanbul'u işgali	b	1911 yılında İtalya'nın Trablusgarp'a saldırmasıyla savaş başlamıştır.	kolay
Tarih	20. Yüzyıl Başlarında Osmanlı Devleti	Trablusgarp ve Balkan Savaşları	Trablusgarp Savaşı sonunda Osmanlı Devleti'nin Trablusgarp ve Bingazi'yi İtalya'ya bırakmasına neden olan antlaşma aşağıdakilerden hangisidir?	Uşi Antlaşması	Edirne Antlaşması	Berlin Antlaşması	Bükreş Antlaşması	Mondros Ateşkesi	a	Uşi Antlaşması ile Trablusgarp ve Bingazi İtalya'ya bırakılmıştır.	orta
Tarih	20. Yüzyıl Başlarında Osmanlı Devleti	Trablusgarp ve Balkan Savaşları	I. Balkan Savaşı sonunda Osmanlı Devleti'nin Balkanlardaki sınırını belirleyen hat aşağıdakilerden hangisidir?	Midye-Enez hattı	Merinç-Arda hattı	Tuna-Sava hattı	Çatalca-Silivri hattı	Prut-Dinyester hattı	a	1912-1913 Balkan Savaşları sonunda Osmanlı Devleti, Midye-Enez hattının batısındaki topraklarını kaybetmiştir.	orta
Tarih	20. Yüzyıl Başlarında Osmanlı Devleti	Trablusgarp ve Balkan Savaşları	II. Balkan Savaşı sırasında Osmanlı Devleti'nin geri aldığı şehirler aşağıdakilerden hangisidir?	İzmir ve Manisa	Edirne ve Kırklareli	Belgrad ve Semendire	Selanik ve Kavala	Üsküp ve Manastır	b	II. Balkan Savaşı'ndan yararlanan Osmanlı Devleti, Edirne ve Kırklareli'yi geri almıştır.	kolay
Tarih	I. Dünya Savaşı Sürecinde Osmanlı	Savaşın Nedenleri ve Girilmesi	I. Dünya Savaşı'nın temel nedenleri arasında aşağıdakilerden hangisi gösterilemez?	Sömürgecilik yarışı	Silahlanma	Milliyetçilik	Bloklaşma	Tevhid-i Tedrisat	e	Tevhid-i Tedrisat Kanunu Türkiye Cumhuriyeti dönemine aittir; I. Dünya Savaşı'nın nedenleri arasında yer almaz.	kolay
Tarih	I. Dünya Savaşı Sürecinde Osmanlı	Savaşın Nedenleri ve Girilmesi	I. Dünya Savaşı'nın başlamasına doğrudan neden olan olay aşağıdakilerden hangisidir?	Franz Ferdinand'ın öldürülmesi	Çanakkale Savaşlarının başlaması	İtalya'nın Trablusgarp'ı işgali	Mondros Ateşkes Antlaşması'nın imzalanması	Balkan Savaşlarının sona ermesi	a	Avusturya-Macaristan Veliahtı Franz Ferdinand'ın Saraybosna'da öldürülmesi, savaşın doğrudan nedeni olmuştur.	orta
Tarih	I. Dünya Savaşı Sürecinde Osmanlı	Savaşın Nedenleri ve Girilmesi	Osmanlı Devleti I. Dünya Savaşı'na hangi devletin yanında katılmıştır?	İngiltere	Fransa	Rusya	Almanya	İtalya	d	Osmanlı Devleti, Almanya ile ittifak yaparak I. Dünya Savaşı'na İttifak Devletleri yanında katılmıştır.	kolay
Tarih	I. Dünya Savaşı Sürecinde Osmanlı	Savaşın Nedenleri ve Girilmesi	Osmanlı Devleti'nin savaşa fiilen girmesine neden olan gelişme aşağıdakilerden hangisidir?	Yavuz ve Midilli gemilerinin Rus limanlarını bombalaması	Almanya'nın Belçika'yı işgal etmesi	İtalya'nın On İki Ada'yı işgal etmesi	İngiltere'nin Mısır'ı işgali	Fransa'nın Tunus'u alması	a	Goben ve Breslau adlı Alman gemileri Osmanlı'ya sığındıktan sonra Yavuz ve Midilli adını almış; Rus limanlarını bombalayınca Osmanlı Devleti savaşa fiilen girmiştir.	orta
Tarih	I. Dünya Savaşı Sürecinde Osmanlı	Cepheler	Kafkas Cephesi'nde Osmanlı Devleti'nin Ruslara karşı başlattığı ve ağır kayıplarla sonuçlanan harekât aşağıdakilerden hangisidir?	Sakarya Harekâtı	Sarıkamış Harekâtı	Büyük Taarruz	Çanakkale Harekâtı	Kutü'l-Amâre Harekâtı	b	Sarıkamış Harekâtı, Kafkas Cephesi'nde ağır kış şartları nedeniyle büyük kayıplarla sonuçlanmıştır.	kolay
Tarih	I. Dünya Savaşı Sürecinde Osmanlı	Cepheler	Osmanlı Devleti'nin İngilizlere karşı önemli bir zafer kazandığı cephe ve olay eşleştirmesi aşağıdakilerden hangisidir?	Irak Cephesi - Kutü'l-Amâre Zaferi	Kafkas Cephesi - Mudanya Ateşkesi	Çanakkale Cephesi - Sevr Antlaşması	Hicaz Cephesi - Lozan Antlaşması	Suriye Cephesi - Gümrü Antlaşması	a	Irak Cephesi'nde Halil Kut Paşa komutasındaki Osmanlı kuvvetleri Kutü'l-Amâre'de İngilizlere karşı önemli bir zafer kazanmıştır.	orta
Tarih	I. Dünya Savaşı Sürecinde Osmanlı	Cepheler	Çanakkale Cephesi'ndeki başarıları nedeniyle Anafartalar Kahramanı olarak tanınan komutan aşağıdakilerden hangisidir?	Kazım Karabekir	İsmet İnönü	Mustafa Kemal	Halil Kut Paşa	Fahrettin Paşa	c	Mustafa Kemal, Çanakkale Cephesi'nde özellikle Anafartalar'daki başarılarıyla Anafartalar Kahramanı olarak tanınmıştır.	kolay
Tarih	I. Dünya Savaşı'nın Sonuçları	Mondros Ateşkes Antlaşması (1918)	Mondros Ateşkes Antlaşması hangi tarihte imzalanmıştır?	30 Ekim 1918	29 Ekim 1923	10 Ağustos 1920	24 Temmuz 1923	11 Ekim 1922	a	Mondros Ateşkes Antlaşması, 30 Ekim 1918'de imzalanmıştır.	kolay
Tarih	I. Dünya Savaşı'nın Sonuçları	Mondros Ateşkes Antlaşması (1918)	Mondros Ateşkes Antlaşması'nın 7. maddesi İtilaf Devletlerine aşağıdaki imkânlardan hangisini vermiştir?	İstedikleri stratejik noktayı işgal etme	Osmanlı Devleti'ne savaş açma	Boğazları tamamen Osmanlıya bırakma	Türk ordusunu güçlendirme	Osmanlı Meclisini yeniden açma	a	7. madde, İtilaf Devletlerine güvenlik gerekçesiyle istedikleri stratejik noktayı işgal etme hakkı vermiştir.	orta
Tarih	Millî Mücadele'ye Hazırlık Dönemi-I	İzmir'in İşgali ve Kuvay-ı Milliye	Mondros Ateşkes Antlaşması'ndan sonra işgallere karşı ortaya çıkan ilk silahlı direniş örgütlerine ne ad verilir?	Kuvâ-yı Milliye	Divan-ı Hümayun	İttihat ve Terakki	Nizam-ı Cedit	Müdafaa-i Hukuk Meclisi	a	Kuvâ-yı Milliye, işgaller karşısında halkın oluşturduğu bölgesel silahlı direniş birlikleridir.	kolay
Tarih	Millî Mücadele'ye Hazırlık Dönemi-I	İzmir'in İşgali ve Kuvay-ı Milliye	İşgallere karşı miting ve protestolar düzenlenmesinin temel amacı aşağıdakilerden hangisidir?	İşgallerin haksızlığını dünya kamuoyuna duyurmak	Osmanlı Devleti'ni savaşa yeniden sokmak	Halifeliği güçlendirmek	Mondros'u desteklemek	Yeniçeri Ocağını kurmak	a	Miting ve protestolarla işgallerin haksızlığı hem halka hem dünya kamuoyuna duyurulmaya çalışılmıştır.	orta
Tarih	Millî Mücadele'ye Hazırlık Dönemi-II	Havza ve Amasya Genelgeleri	Amasya Genelgesi'nin Millî Mücadele açısından en önemli özelliği aşağıdakilerden hangisidir?	Manda ve himayeyi kesin olarak reddetmesi	Millî Mücadele'nin gerekçe, amaç ve yöntemini açıklaması	TBMM'yi açması	İstanbul Hükûmetini tanıması	Lozan Antlaşması'nı kabul etmesi	b	Amasya Genelgesi, Millî Mücadele'nin gerekçesini, amacını ve uygulanacak yöntemi ilk kez açıklayan belgedir.	orta
Tarih	Millî Mücadele'ye Hazırlık Dönemi-II	Havza ve Amasya Genelgeleri	“Milletin bağımsızlığını yine milletin azim ve kararı kurtaracaktır.” kararı aşağıdaki anlayışlardan hangisini öne çıkarır?	Mandacılık	Millî egemenlik	Saltanatçılık	Ümmetçilik	Hilafetçilik	b	Bu ifade, kurtuluşun milletin kendi iradesiyle sağlanacağını vurgulayarak millî egemenlik anlayışını öne çıkarır.	kolay
Tarih	Millî Mücadele'ye Hazırlık Dönemi-II	Erzurum ve Sivas Kongreleri	Sivas Kongresi'nin Erzurum Kongresi'nden farklı olarak ulusal nitelik taşımasının temel nedeni aşağıdakilerden hangisidir?	Tüm yararlı cemiyetleri tek çatı altında birleştirmesi	İlk kez manda ve himayeyi reddetmesi	Temsil Heyetini ilk kez oluşturması	Misak-ı Millî'yi kabul etmesi	TBMM'nin açılmasını sağlaması	a	Sivas Kongresi'nde bütün yararlı cemiyetler Anadolu ve Rumeli Müdafaa-i Hukuk Cemiyeti altında birleştirilmiştir.	orta
Tarih	Büyük Millet Meclisi'nin Açılması ve Sevr	BMM'nin Açılması ve İsyanlar	TBMM hangi tarihte açılmıştır?	19 Mayıs 1919	23 Nisan 1920	20 Ocak 1921	1 Kasım 1922	29 Ekim 1923	b	TBMM, 23 Nisan 1920'de Ankara'da açılmıştır.	kolay
Tarih	Büyük Millet Meclisi'nin Açılması ve Sevr	BMM'nin Açılması ve İsyanlar	Birinci TBMM'de yasama ve yürütme yetkilerinin mecliste toplanması aşağıdaki ilkelerden hangisini gösterir?	Güçler ayrılığı	Güçler birliği	Laiklik	Halkçılık	Devletçilik	b	Birinci TBMM'de yasama ve yürütme yetkileri mecliste toplandığı için güçler birliği ilkesi uygulanmıştır.	orta
Tarih	Büyük Millet Meclisi'nin Açılması ve Sevr	Sevr Antlaşması	Sevr Antlaşması'nın hukuken geçersiz sayılmasının temel nedeni aşağıdakilerden hangisidir?	İtilaf Devletlerinin antlaşmayı reddetmesi	Osmanlı Mebusan Meclisinin antlaşmayı onaylamaması	TBMM'nin kapatılması	Lozan Antlaşması'nın daha önce imzalanması	İstanbul'un işgal edilmemesi	b	Osmanlı anayasasına göre antlaşmaların Mebusan Meclisi tarafından onaylanması gerekiyordu. Meclis kapalı olduğu için Sevr hukuken yürürlüğe girmedi.	orta
Tarih	Büyük Millet Meclisi'nin Açılması ve Sevr	Sevr Antlaşması	TBMM'nin Sevr Antlaşması karşısındaki tutumu aşağıdakilerden hangisidir?	Antlaşmayı kabul etmiştir	Antlaşmayı küçük değişikliklerle onaylamıştır	Antlaşmayı tanımamış ve uygulanmasına izin vermemiştir	Antlaşmayı Rusya ile birlikte imzalamıştır	Antlaşmayı yalnızca ekonomik maddeleriyle kabul etmiştir	c	TBMM, Anadolu'yu parçalamayı amaçlayan Sevr Antlaşması'nı tanımamış ve antlaşmayı imzalayanları vatan haini saymıştır.	kolay
Tarih	Doğu, Güney ve Batı Cepheleri	Doğu ve Güney Cepheleri	Doğu Cephesi'nde Ermenilere karşı mücadele eden Türk ordusunun komutanı aşağıdakilerden hangisidir?	İsmet İnönü	Kazım Karabekir	Ali Fuat Paşa	Refet Bele	Fahrettin Paşa	b	Doğu Cephesi'nde Ermenilere karşı Türk ordusuna Kazım Karabekir komuta etmiştir.	kolay
Tarih	Doğu, Güney ve Batı Cepheleri	Doğu ve Güney Cepheleri	Doğu Cephesi'ndeki başarı sonucunda imzalanan ve TBMM'nin ilk siyasi başarısı kabul edilen antlaşma aşağıdakilerden hangisidir?	Gümrü Antlaşması	Moskova Antlaşması	Ankara Antlaşması	Mudanya Ateşkesi	Kars Antlaşması	a	Gümrü Antlaşması, TBMM'nin uluslararası alandaki ilk siyasi başarısı olarak kabul edilir.	orta
Tarih	Doğu, Güney ve Batı Cepheleri	Doğu ve Güney Cepheleri	Güney Cephesi'nde Türk halkının mücadele ettiği başlıca devlet aşağıdakilerden hangisidir?	Rusya	İngiltere	Fransa	İtalya	Yunanistan	c	Güney Cephesi'nde halk, özellikle Fransız ve onların desteklediği Ermeni kuvvetlerine karşı mücadele etmiştir.	kolay
Tarih	Doğu, Güney ve Batı Cepheleri	Doğu ve Güney Cepheleri	Güney Cephesi'nin kapanmasını sağlayan antlaşma aşağıdakilerden hangisidir?	Gümrü Antlaşması	Moskova Antlaşması	Ankara Antlaşması	Kars Antlaşması	Mudanya Ateşkesi	c	20 Ekim 1921 Ankara Antlaşması ile Fransa bölgeden çekilmiş ve Güney Cephesi kapanmıştır.	orta
Tarih	Doğu, Güney ve Batı Cepheleri	Batı Cephesi I. ve II. İnönü Muharebeleri	Düzenli ordunun Batı Cephesi'ndeki ilk askerî başarısı aşağıdakilerden hangisidir?	I. İnönü Muharebesi	Kütahya-Eskişehir Savaşları	Sakarya Meydan Muharebesi	Büyük Taarruz	Mudanya Ateşkesi	a	I. İnönü Muharebesi, düzenli ordunun Batı Cephesi'ndeki ilk askerî başarısıdır.	kolay
Tarih	Doğu, Güney ve Batı Cepheleri	Kütahya-Eskişehir ve Sakarya Savaşları	Kütahya-Eskişehir Savaşları sonrasında Türk ordusunun Sakarya Nehri'nin doğusuna çekilmesinin ardından alınan en önemli tedbir aşağıdakilerden hangisidir?	Halifeliğin kaldırılması	Tekâlif-i Millîye Emirlerinin yayımlanması	Lozan Antlaşması'nın imzalanması	Cumhuriyetin ilanı	Mondros Ateşkesinin kabulü	b	Mustafa Kemal'in başkomutan olmasından sonra ordunun ihtiyaçlarını karşılamak için Tekâlif-i Millîye Emirleri yayımlanmıştır.	orta
Tarih	Doğu, Güney ve Batı Cepheleri	Kütahya-Eskişehir ve Sakarya Savaşları	Sakarya Meydan Muharebesi'nin Türk Kurtuluş Savaşı açısından en önemli sonucu aşağıdakilerden hangisidir?	Türk ordusunun savunmadan taarruza geçme imkânı bulması	İstanbul'un işgal edilmesi	Yeniçeri Ocağının kaldırılması	Sevr Antlaşması'nın imzalanması	Doğu Cephesi'nin açılması	a	Sakarya Zaferi ile Türk ordusunun geri çekilişi sona ermiş ve taarruz hazırlıklarına geçilmiştir.	orta
Tarih	Doğu, Güney ve Batı Cepheleri	Batı Cephesi I. ve II. İnönü Muharebeleri	Londra Konferansı'na TBMM Hükûmetinin çağrılması aşağıdakilerden hangisini gösterir?	İtilaf Devletlerinin TBMM'yi hukuken tanımaya başladığını	Sevr Antlaşması'nın tamamen kaldırıldığını	Osmanlı saltanatının sona erdiğini	Yunanistan'ın savaştan çekildiğini	Rusya'nın kapitülasyonları kaldırdığını	a	İtilaf Devletleri TBMM'yi Londra Konferansı'na çağırarak onu hukuken tanımış sayılmıştır.	orta
Tarih	Doğu, Güney ve Batı Cepheleri	Batı Cephesi I. ve II. İnönü Muharebeleri	Moskova Antlaşması ile TBMM Hükûmetini tanıyan ilk Avrupa devleti aşağıdakilerden hangisidir?	Fransa	İngiltere	İtalya	Sovyet Rusya	Yunanistan	d	Moskova Antlaşması ile Sovyet Rusya, TBMM Hükûmetini tanıyan ilk Avrupa devleti olmuştur.	kolay
Tarih	Doğu, Güney ve Batı Cepheleri	Doğu ve Güney Cepheleri	Türkiye'nin doğu sınırının kesinleşmesini sağlayan antlaşma aşağıdakilerden hangisidir?	Mudanya Ateşkesi	Kars Antlaşması	Lozan Antlaşması	Ankara Antlaşması	Gümrü Antlaşması	b	Kars Antlaşması ile Türkiye'nin doğu sınırı kesin olarak belirlenmiştir.	kolay
Tarih	Doğu, Güney ve Batı Cepheleri	Doğu ve Güney Cepheleri	Ankara Antlaşması'nın Millî Mücadele açısından en önemli sonucu aşağıdakilerden hangisidir?	Doğu Cephesi'nin kapanması	Güney Cephesi'nin kapanması	Boğazların Türkiye'ye bırakılması	Kapitülasyonların kaldırılması	Yunanistan'ın savaştan çekilmesi	b	Ankara Antlaşması ile Fransa TBMM'yi tanımış, Güney Cephesi kapanmış ve güney sınırı Hatay dışında büyük ölçüde belirlenmiştir.	orta
Tarih	Millî Mücadele'nin Sona Ermesi	Büyük Taarruz ve Mudanya	Büyük Taarruz hangi tarihte başlamıştır?	19 Mayıs 1919	23 Nisan 1920	26 Ağustos 1922	30 Ağustos 1922	11 Ekim 1922	c	Büyük Taarruz, 26 Ağustos 1922'de başlamıştır.	kolay
Tarih	Millî Mücadele'nin Sona Ermesi	Büyük Taarruz ve Mudanya	Mudanya Ateşkes Antlaşması'nın en önemli sonucu aşağıdakilerden hangisidir?	Doğu Trakya'nın savaşılmadan geri alınması	Boğazların kesin olarak Türkiye'ye bırakılması	Kapitülasyonların kaldırılması	Yunanistan'ın Anadolu'da devlet kurması	Saltanatın kaldırılması	a	Mudanya Ateşkesi ile Doğu Trakya savaş yapılmadan Türkiye'ye bırakılmış, silahlı mücadele büyük ölçüde sona ermiştir.	orta
Tarih	Millî Mücadele'nin Sona Ermesi	Lozan Barış Antlaşması	Lozan Barış Antlaşması ile çözülemeyip daha sonraya bırakılan sorun aşağıdakilerden hangisidir?	Kapitülasyonlar	Azınlıklar	Musul sınırı	Savaş tazminatı	Doğu Trakya	c	Musul Sorunu, Lozan'da çözülememiş ve Türkiye ile İngiltere arasında sonraki görüşmelere bırakılmıştır.	orta
Tarih	Millî Mücadele'nin Sona Ermesi	Lozan Barış Antlaşması	Lozan Barış Antlaşması ile aşağıdakilerden hangisi kesin olarak kaldırılmıştır?	Manda ve himaye	Kapitülasyonlar	Halifelik	Saltanat	Teşkilat-ı Esasiye	b	Lozan Antlaşması ile kapitülasyonlar kesin olarak kaldırılmış; Türkiye'nin ekonomik bağımsızlığı güçlenmiştir.	kolay
Tarih	Atatürk İlkeleri-Siyasi ve Hukuki Gelişmeler	Siyasi Alanda İnkılaplar	Cumhuriyet hangi tarihte ilan edilmiştir?	23 Nisan 1920	1 Kasım 1922	13 Ekim 1923	29 Ekim 1923	3 Mart 1924	d	Cumhuriyet, 29 Ekim 1923'te ilan edilmiştir.	kolay
Tarih	Atatürk İlkeleri-Siyasi ve Hukuki Gelişmeler	Siyasi Alanda İnkılaplar	Cumhuriyetin ilan edilmesiyle aşağıdakilerden hangisi kesinlik kazanmıştır?	Devletin yönetim şekli	Doğu sınırı	Boğazların statüsü	Musul'un Türkiye'ye ait olduğu	Halifeliğin devamı	a	Cumhuriyetin ilanıyla yeni Türk Devleti'nin yönetim şekli kesin olarak belirlenmiştir.	orta
Tarih	Atatürk İlkeleri-Siyasi ve Hukuki Gelişmeler	Siyasi Alanda İnkılaplar	Saltanatın kaldırılması aşağıdaki tarihlerden hangisinde gerçekleşmiştir?	23 Nisan 1920	1 Kasım 1922	29 Ekim 1923	3 Mart 1924	20 Nisan 1924	b	Saltanat 1 Kasım 1922'de kaldırılmıştır.	kolay
Tarih	Atatürk İlkeleri-Siyasi ve Hukuki Gelişmeler	Siyasi Alanda İnkılaplar	Halifeliğin kaldırılmasının temel amacı aşağıdakilerden hangisidir?	Laik ve millî egemenliğe dayalı devlet yapısını güçlendirmek	Osmanlı Devleti'ni yeniden kurmak	Çok partili hayata geçmek	Yeniçeri Ocağını yeniden açmak	Tımar sistemini canlandırmak	a	Halifeliğin kaldırılması, laikleşme ve millî egemenlik anlayışını güçlendiren siyasi inkılaplardan biridir.	orta
Tarih	Atatürk Dönemi'nde Yapılan İnkılaplar	Eğitim, Kültür ve Toplumsal İnkılaplar	Tevhid-i Tedrisat Kanunu'nun temel amacı aşağıdakilerden hangisidir?	Eğitim kurumlarını Millî Eğitim Bakanlığına bağlayarak eğitim birliği sağlamak	Hukuk mahkemelerini kapatmak	Medreseleri yeniden açmak	Askerî okulları kapatmak	Yeni bir vergi sistemi kurmak	a	Tevhid-i Tedrisat Kanunu ile bütün eğitim kurumları Millî Eğitim Bakanlığına bağlanmış ve eğitimde birlik sağlanmıştır.	kolay
Tarih	Atatürk İlkeleri-Siyasi ve Hukuki Gelişmeler	Hukuk Alanı ve Medeni Kanun	Türk Medeni Kanunu'nun kabulüyle aşağıdakilerden hangisi sağlanmıştır?	Şer'i hukukun güçlenmesi	Resmî nikâh ve tek eşlilik esasının kabulü	Saltanatın geri getirilmesi	Kapitülasyonların yeniden verilmesi	Medreselerin açılması	b	Türk Medeni Kanunu ile resmî nikâh ve tek eşlilik kabul edilmiş; kadınlara sosyal ve hukukî alanda yeni haklar tanınmıştır.	orta
Tarih	Atatürk Dönemi'nde Yapılan İnkılaplar	Eğitim, Kültür ve Toplumsal İnkılaplar	Harf İnkılabı sonrasında yeni alfabeyi halka öğretmek amacıyla açılan kurumlar aşağıdakilerden hangisidir?	Halk Evleri	Millet Mektepleri	Nizamiye Medreseleri	Enderunlar	Rüştiyeler	b	Harf İnkılabı'nın ardından okuma yazmayı yaygınlaştırmak amacıyla Millet Mektepleri açılmıştır.	kolay
